"boosting","learning_rate","num_rounds","num_leaves","min_data_in_leaf","feature_fraction","max_depth","extra_trees","avg_accuracy_train","avg_accuracy_test","avg_auc_train","avg_auc_test","avg_precision_train","avg_precision_test","avg_recall_train","avg_recall_test","avg_logloss_train","avg_logloss_test"
"gbdt",0.05,100,50,30,1,-1,FALSE,0.704173156829116,0.695271051666015,0.78125138614558,0.76621386070912,0.631886825978552,0.62181863954896,0.668979959707348,0.657342805640971,0.546660767989205,0.55998658769612
"gbdt",0.05,200,50,30,1,-1,FALSE,0.713345052423821,0.695114392567911,0.795554659703178,0.766683656294159,0.642772305003769,0.621969389867952,0.678941787721345,0.655709892906373,0.532684217953351,0.559222107282594
"gbdt",0.05,200,50,20,1,8,FALSE,0.712411542977154,0.695079562640973,0.793772327389917,0.7666335206829,0.642169401196387,0.622331720574402,0.676036475453292,0.653970946877319,0.534271183906355,0.559340593783374
"gbdt",0.05,200,50,20,1,10,FALSE,0.713416860618793,0.695070864345445,0.795206447530797,0.766644779120803,0.642748626634349,0.621765087675899,0.679445445870003,0.656324886014208,0.532955650067331,0.55937235758965
"gbdt",0.05,100,70,20,0.75,-1,FALSE,0.708514303524879,0.695018656010455,0.787393780068588,0.76634953108149,0.637602687069674,0.622035238507708,0.671508853780087,0.654904039868519,0.541563045157429,0.56003241464919
"gbdt",0.1,100,70,30,1,6,FALSE,0.709051776327056,0.694957709983425,0.788811365859441,0.766311330157765,0.639444013084373,0.623054673907401,0.667553811896936,0.650111334959177,0.538756875227019,0.559709257003019
"gbdt",0.1,100,100,30,1,6,FALSE,0.709051776327056,0.694957709983425,0.788811365859441,0.766311330157765,0.639444013084373,0.623054673907401,0.667553811896936,0.650111334959177,0.538756875227019,0.559709257003019
"gbdt",0.05,100,70,20,1,8,FALSE,0.7070520207555,0.69491418213977,0.785725666741611,0.766420821971553,0.635590173145118,0.621717313237869,0.670952178984201,0.655540239635245,0.54231902123069,0.559707374679846
"gbdt",0.05,200,31,30,1,10,FALSE,0.704963048725762,0.694896788958027,0.784465650399527,0.766769580689748,0.632805324026117,0.621250089113742,0.669934259357438,0.657470045594317,0.543115145051693,0.559277389806453
"gbdt",0.05,200,31,10,1,-1,FALSE,0.705633260005463,0.69488808649556,0.785032392675238,0.766491405862805,0.633646859138326,0.621391899147387,0.670475029159156,0.656791432509808,0.542461109452436,0.559574467672475
"gbdt",0.1,100,70,10,1,6,FALSE,0.71056628192104,0.694879387821219,0.790580296932756,0.766184060264987,0.640866272560808,0.622566812047033,0.670676492418619,0.651680627717103,0.536762551830672,0.559788020806248
"gbdt",0.1,100,100,10,1,6,FALSE,0.71056628192104,0.694879387821219,0.790580296932756,0.766184060264987,0.640866272560808,0.622566812047033,0.670676492418619,0.651680627717103,0.536762551830672,0.559788020806248
"gbdt",0.05,100,70,20,1,-1,FALSE,0.708640513001088,0.694870660357118,0.787986974325127,0.766304242971656,0.637018355267968,0.621262788743516,0.674461881030644,0.657257979005408,0.540600996183296,0.559708860702797
"gbdt",0.05,100,70,30,0.75,-1,FALSE,0.708181373559845,0.694853272478752,0.786977667626048,0.766351668131734,0.637266345133008,0.621878666472075,0.670915067331142,0.654501113349592,0.541942841502439,0.56000237912995
"gbdt",0.05,200,50,10,1,8,FALSE,0.712535574399208,0.694853271721126,0.794228422301737,0.766566625720725,0.641962059662159,0.621666927169497,0.677489131587318,0.655391793023009,0.533719554823966,0.559335970597794
"gbdt",0.05,200,31,30,1,-1,FALSE,0.705463531919115,0.694853269448251,0.784735422615782,0.766739990070792,0.633474862083289,0.621459788940304,0.670162230940515,0.656282472696427,0.542935527213252,0.559271746248402
"gbdt",0.05,100,70,10,1,8,FALSE,0.707382775246955,0.694844565470533,0.786300802243164,0.766354955735134,0.635954870873714,0.621635122348829,0.671424027144523,0.655519032976355,0.541810475004595,0.559734806842048
"gbdt",0.05,200,50,20,0.75,-1,FALSE,0.712951192933836,0.694835864902129,0.795003014018649,0.766452675532033,0.642749393765709,0.621845160677142,0.676847630155869,0.654543526667374,0.533398951956815,0.559544702401367
"gbdt",0.05,200,31,20,1,10,FALSE,0.705198056716019,0.694835862629253,0.78449923284707,0.766554682322357,0.633010908210784,0.621233105934588,0.670469727494433,0.657173152369844,0.54298672871213,0.559438184861276
"gbdt",0.05,200,100,30,0.75,8,FALSE,0.7226757947359,0.694818453537379,0.807613804296228,0.766233137182976,0.654677497962039,0.622366507662814,0.686443643303997,0.652189587530485,0.520790494536901,0.559898480654117
"gbdt",0.05,300,50,20,1,10,FALSE,0.722645332423788,0.694818446718752,0.807133077862053,0.76608846808471,0.654417210945979,0.622281455013217,0.687154066376842,0.652507687413848,0.521597594909902,0.55989392733456
"gbdt",0.05,100,70,30,1,-1,FALSE,0.708588287903681,0.694818445582314,0.787650429746653,0.766177783800212,0.637090087671327,0.62147318140885,0.67388930124059,0.656049199448627,0.540949928824978,0.559715595014063
"gbdt",0.05,100,50,20,1,-1,FALSE,0.704044771547877,0.694801031187064,0.781418332256408,0.766234997340942,0.631797437021294,0.621285418448882,0.668598239847312,0.656749019192026,0.546480554561875,0.559960232086302
"gbdt",0.05,200,31,20,1,8,FALSE,0.705378667094665,0.694757523799292,0.784205138402002,0.766672230824562,0.633363295397111,0.62105705569545,0.670109214293288,0.657448838935426,0.543375522880689,0.55951106632028
"gbdt",0.05,100,70,10,1,-1,FALSE,0.708385918598765,0.694757514328976,0.788073270711254,0.76608022578655,0.636941820209828,0.621385579068604,0.673322023115258,0.656027992789736,0.540196984043881,0.559950508448351
"gbdt",0.05,200,70,20,0.75,8,FALSE,0.71796908187564,0.694748812624134,0.801040129735159,0.766477062959118,0.648946522303125,0.622117277140452,0.681603223412151,0.652825787297211,0.527316597140135,0.559433157329051
"gbdt",0.05,200,50,20,1,-1,FALSE,0.713519132167577,0.694740107509978,0.795946135646969,0.766659043195002,0.642858265725228,0.621336217832624,0.67961509914113,0.656155232743081,0.532265248496469,0.559189454970737
"gbdt",0.05,100,100,10,1,-1,FALSE,0.715503657435377,0.694740096903225,0.797661138855651,0.765869521666736,0.644946708949609,0.62114393941881,0.682684763015587,0.656939879122044,0.531646082401179,0.559905632626191
"gbdt",0.05,200,70,20,1,8,FALSE,0.718667579899172,0.694731397092446,0.802268892865106,0.766508691272739,0.649591345012573,0.621997602287639,0.683034672887287,0.653207507157247,0.526036064089403,0.559436769424006
"gbdt",0.05,200,70,30,0.75,-1,FALSE,0.720504134799467,0.69472270788842,0.80471925475978,0.766338290999698,0.651950301250718,0.622068648928566,0.684508535680204,0.652846993956102,0.524390905783373,0.559637766719007
"gbdt",0.05,100,70,30,1,10,FALSE,0.707998588157445,0.694722692357103,0.786543275133444,0.766321184921269,0.636189760000831,0.621133244485331,0.674037747852826,0.656939879122044,0.54163590501161,0.559719923160607
"gbdt",0.1,100,50,30,1,-1,FALSE,0.713771552469472,0.694713997470888,0.795344911399742,0.766191133045962,0.64333136040671,0.621338116854942,0.679201569292758,0.655943166154172,0.53281571321826,0.559628385145714
"gbdt",0.05,300,50,20,1,-1,FALSE,0.72282376531648,0.694705294250795,0.80814156777334,0.766302120974737,0.654446814992986,0.621901022463192,0.687970522744142,0.65350440038172,0.520561757751191,0.559543267605323
"gbdt",0.05,300,50,30,1,-1,FALSE,0.722836821827582,0.694696595576454,0.807884336537792,0.766216925976052,0.654868616213266,0.622266557234995,0.686602693245679,0.65185028098823,0.52109234890561,0.559693008418155
"gbdt",0.1,100,50,20,1,-1,FALSE,0.713947806905532,0.694696591409515,0.795830731548562,0.766226245727773,0.643730846111845,0.621671350855417,0.678697911144099,0.654416286714028,0.532333406406703,0.55969679251303
